mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
58380.31704,19.96414,0.01585,21.10506,0.01717,WFI
58382.25451,19.97727,0.00870,21.14978,0.02346,WFI
58383.13020,19.96907,0.00895,21.09884,0.02377,WFI
58384.28649,19.96597,0.01104,21.16304,0.02455,WFI
58385.28511,19.99305,0.00769,21.18052,0.02164,WFI
58393.09202,19.97878,0.00499,21.18248,0.02025,WFI
58394.14048,19.99435,0.00370,21.19742,0.00992,WFI
58397.16053,20.00111,0.00528,21.21084,0.00913,WFI
58398.25133,19.99795,0.00468,21.21961,0.02024,WFI
58401.14466,20.03222,0.00398,21.19565,0.00942,WFI
58404.25456,20.03816,0.00956,21.22986,0.02112,WFI
58407.23757,20.01393,0.00507,21.20711,0.02737,WFI
58408.19307,20.01488,0.01237,21.20949,0.02312,WFI
58409.20074,20.00831,0.00979,21.23509,0.02972,WFI
58410.23428,20.00764,0.01383,21.26868,0.02513,WFI
58411.11224,20.02221,0.00870,21.23348,0.02481,WFI
58412.23387,20.04936,0.04233,21.35589,0.05372,WFI
58413.14203,20.02962,0.00833,21.22452,0.02910,WFI
58414.21535,20.04796,0.01082,21.16340,0.02892,WFI
58415.21213,20.03326,0.01738,21.16924,0.04780,WFI
58416.24997,20.03609,0.02072,21.15308,0.05604,WFI
58418.20701,20.03734,0.00664,21.13265,0.01647,WFI
58419.23178,20.04966,0.00715,21.19388,0.01883,WFI
58423.21753,20.06498,0.01343,21.20506,0.01362,WFI
58424.20723,20.06032,0.00588,21.17547,0.01936,WFI
58425.19434,20.06133,0.00409,21.14139,0.01414,WFI
58426.23737,20.08226,0.00650,21.14721,0.01554,WFI
58427.11290,20.06548,0.00475,21.16355,0.00936,WFI
58428.14315,20.07786,0.00383,21.14802,0.00805,WFI
58429.12275,20.09282,0.00781,21.16782,0.00941,WFI
58430.16390,20.09792,0.00841,21.17050,0.00949,WFI
58431.13917,20.10435,0.00500,21.16262,0.01204,WFI
58432.13528,20.10242,0.00543,21.17448,0.02614,WFI
58433.12493,20.09201,0.00772,21.18107,0.01648,WFI
58435.15039,20.12689,0.03355,21.14498,0.03898,WFI
58436.11202,20.10157,0.01223,21.12197,0.03587,WFI
58437.07594,20.13696,0.00726,21.10061,0.04059,WFI
58438.14109,20.13196,0.00512,21.13207,0.01097,WFI
58439.14155,20.14282,0.00824,21.12448,0.01875,WFI
58441.09804,20.14482,0.00858,21.14775,0.01390,WFI
58442.10939,20.15747,0.00883,21.14182,0.02041,WFI
58443.13915,20.15453,0.01865,21.10692,0.01947,WFI
58444.14392,20.13631,0.01379,21.08853,0.03098,WFI
58445.14538,20.14578,0.01102,21.11670,0.02591,WFI
58446.16411,20.15440,0.01072,21.13464,0.02260,WFI
58447.15271,20.13410,0.00699,21.14524,0.01658,WFI
58448.03561,20.14478,0.00377,21.13936,0.00951,WFI
58449.07563,20.15472,0.00377,21.16713,0.00774,WFI
58450.15625,20.14335,0.00694,21.14051,0.00983,WFI
58451.14711,20.15214,0.00679,21.18446,0.01004,WFI
58452.12426,20.15337,0.00462,21.16831,0.01060,WFI
58453.02656,20.13938,0.00575,21.13334,0.01281,WFI
58454.04720,20.15218,0.00715,21.15405,0.02532,WFI
58455.04030,20.14190,0.00572,21.12911,0.01299,WFI
58457.12585,20.10058,0.01763,21.06489,0.03970,WFI
58458.02961,20.13551,0.00682,21.12886,0.01554,WFI
58459.03095,20.14000,0.00782,21.13458,0.01130,WFI
58460.03077,20.13904,0.00513,21.16259,0.01131,WFI
58461.09097,20.13029,0.00519,21.16087,0.01323,WFI
58462.07474,20.12318,0.00417,21.15289,0.00891,WFI
