mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
54082.07913,-12.89712,0.00982,-11.54515,0.02005,EulerC2
54087.05421,-12.92239,0.00332,-11.46137,0.00912,EulerC2
54089.03562,-12.91192,0.00420,-11.46975,0.00429,EulerC2
54090.03858,-12.89978,0.00287,-11.47631,0.01180,EulerC2
54092.03412,-12.90035,0.00723,-11.49145,0.01212,EulerC2
54197.38333,-12.90363,0.00634,-11.42217,0.00313,EulerC2
54202.39650,-12.90353,0.00835,-11.41226,0.00085,EulerC2
54205.38752,-12.88554,0.00117,-11.43706,0.01131,EulerC2
54207.39737,-12.88963,0.00123,-11.45455,0.00136,EulerC2
54217.41675,-12.89217,0.00012,-11.42028,0.00777,EulerC2
54229.37417,-12.89165,0.00364,-11.43406,0.00313,EulerC2
54233.39538,-12.88355,0.00551,-11.44656,0.01463,EulerC2
54240.40562,-12.88903,0.00108,-11.42602,0.00723,EulerC2
54316.18662,-12.88012,0.00031,-11.40206,0.00602,EulerC2
54329.37256,-12.87675,0.00154,-11.43988,0.00809,EulerC2
54333.10200,-12.88510,0.01477,-11.42789,0.00280,EulerC2
54338.09687,-12.85926,0.02033,-11.43989,0.03896,EulerC2
54342.25506,-12.90249,0.00464,-11.44104,0.00449,EulerC2
54353.08521,-12.89383,0.00408,-11.42688,0.01252,EulerC2
54354.27236,-12.88160,0.00280,-11.48661,0.00730,EulerC2
54363.05389,-12.90376,0.00129,-11.43344,0.00787,EulerC2
54369.18730,-12.90579,0.00693,-11.45845,0.00897,EulerC2
54371.13069,-12.89000,0.00292,-11.49020,0.00574,EulerC2
54377.06214,-12.90192,0.00146,-11.41710,0.01941,EulerC2
54380.21818,-12.89791,0.00274,-11.45401,0.00278,EulerC2
54385.13408,-12.89332,0.00312,-11.46861,0.01683,EulerC2
54390.21723,-12.89979,0.00303,-11.44547,0.00341,EulerC2
54408.09031,-12.90651,0.00169,-11.48193,0.00622,EulerC2
54415.06075,-12.90520,0.00199,-11.47212,0.01680,EulerC2
54423.06326,-12.90628,0.00686,-11.48225,0.00931,EulerC2
54432.09892,-12.91541,0.00298,-11.48416,0.00380,EulerC2
54437.09658,-12.90515,0.00471,-11.49629,0.01038,EulerC2
54448.06292,-12.90041,0.00326,-11.51176,0.00949,EulerC2
54451.03644,-12.90869,0.00501,-11.49318,0.00916,EulerC2
54589.42196,-12.93170,0.00212,-11.46704,0.00760,EulerC2
54591.39247,-12.93287,0.00149,-11.45425,0.00371,EulerC2
54595.38354,-12.91492,0.00438,-11.54209,0.00287,EulerC2
54597.37485,-12.93184,0.00186,-11.48176,0.00634,EulerC2
54599.40800,-12.94032,0.00787,-11.47746,0.00340,EulerC2
54601.35344,-12.94580,0.00135,-11.45853,0.00601,EulerC2
54606.38233,-12.94084,0.00439,-11.44868,0.00561,EulerC2
54608.36099,-12.92877,0.00297,-11.43386,0.00226,EulerC2
54623.35995,-12.96545,0.00251,-11.49420,0.00758,EulerC2
54629.29951,-12.97690,0.00302,-11.45564,0.00468,EulerC2
54674.33192,-12.98667,0.00229,-11.54375,0.01157,EulerC2
54678.35102,-12.98414,0.00456,-11.56800,0.01247,EulerC2
54707.12641,-13.04257,0.00444,-11.47901,0.02018,EulerC2
54716.05284,-13.05522,0.01029,-11.53134,0.00517,EulerC2
54726.08274,-13.03742,0.00060,-11.48609,0.02166,EulerC2
54731.16805,-13.06388,0.00068,-11.60485,0.00989,EulerC2
54755.17692,-13.08265,0.00205,-11.65559,0.02533,EulerC2
54759.10698,-13.08011,0.00498,-11.66424,0.00511,EulerC2
54765.12519,-13.07788,0.00027,-11.69121,0.00647,EulerC2
54771.08418,-13.08691,0.00587,-11.69017,0.01159,EulerC2
54775.12019,-13.10037,0.00132,-11.67296,0.01593,EulerC2
54780.08753,-13.09334,0.01550,-11.67709,0.01032,EulerC2
54926.40724,-13.18542,0.00317,-11.78294,0.01504,EulerC2
54928.40592,-13.18581,0.00634,-11.77047,0.00617,EulerC2
54932.40836,-13.20296,0.00661,-11.74671,0.00853,EulerC2
54933.40946,-13.17590,0.00465,-11.77386,0.00561,EulerC2
54940.38647,-13.17193,0.00853,-11.78677,0.00385,EulerC2
54945.40054,-13.19873,0.00376,-11.75122,0.00533,EulerC2
54950.38806,-13.19039,0.00192,-11.74737,0.00721,EulerC2
54955.40085,-13.19474,0.00464,-11.74165,0.00891,EulerC2
54961.36637,-13.18368,0.00799,-11.74420,0.00225,EulerC2
54966.42108,-13.18052,0.00756,-11.73555,0.01016,EulerC2
54972.40332,-13.18596,0.00156,-11.74515,0.00597,EulerC2
54976.34643,-13.15272,0.01138,-11.77408,0.01792,EulerC2
54982.29999,-13.15395,0.00121,-11.83470,0.01680,EulerC2
