mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
58334.38648,18.12815,0.00402,19.41590,0.01673,WFI
58335.38677,18.12627,0.00155,19.40636,0.00558,WFI
58336.41054,18.13433,0.00137,19.38368,0.00281,WFI
58338.41061,18.13108,0.00133,19.38791,0.00277,WFI
58339.37808,18.12685,0.00132,19.38275,0.00572,WFI
58344.37773,18.12801,0.00163,19.37999,0.00536,WFI
58345.41292,18.13117,0.00125,19.38134,0.00430,WFI
58346.41550,18.12553,0.00158,19.37648,0.00241,WFI
58347.37945,18.12907,0.00137,19.38050,0.00559,WFI
58349.41886,18.12907,0.00290,19.37907,0.00568,WFI
58350.40834,18.13107,0.00100,19.37085,0.00254,WFI
58351.38050,18.13205,0.00134,19.38247,0.00277,WFI
58353.41894,18.12892,0.00441,19.36697,0.00646,WFI
58355.41984,18.12566,0.00179,19.38438,0.00450,WFI
58356.39553,18.13400,0.00187,19.36524,0.00478,WFI
58357.35878,18.13423,0.00170,19.37978,0.00408,WFI
58358.40944,18.13049,0.00195,19.38015,0.00502,WFI
58359.41235,18.13596,0.00241,19.37519,0.00528,WFI
58360.37327,18.13277,0.00196,19.37415,0.00635,WFI
58363.35668,18.13349,0.00157,19.37522,0.00467,WFI
58364.31297,18.13642,0.00095,19.36724,0.00188,WFI
58366.27923,18.13515,0.00138,19.35822,0.00334,WFI
58367.31847,18.13802,0.00134,19.36237,0.00233,WFI
58368.26994,18.13863,0.00136,19.37407,0.00764,WFI
58369.40366,18.13552,0.00144,19.36087,0.00245,WFI
58370.41489,18.13305,0.00388,19.36034,0.00990,WFI
58372.39736,18.13024,0.00304,19.36613,0.00561,WFI
58375.27653,18.13819,0.00146,19.38259,0.00441,WFI
58378.27651,18.13870,0.00198,19.37177,0.00249,WFI
58379.34355,18.13257,0.00356,19.37874,0.00941,WFI
58380.35869,18.14471,0.00198,19.37530,0.01003,WFI
58382.33123,18.14108,0.00148,19.36960,0.00315,WFI
58383.31506,18.14103,0.00153,19.36863,0.00625,WFI
58384.37711,18.14144,0.00212,19.38350,0.00328,WFI
58385.36571,18.14383,0.00214,19.37893,0.00348,WFI
58393.19389,18.14676,0.00082,19.37591,0.00202,WFI
58394.18334,18.15210,0.00177,19.36848,0.00357,WFI
58397.21242,18.15965,0.00143,19.37283,0.00413,WFI
58398.30377,18.15924,0.00140,19.37516,0.00456,WFI
58404.30129,18.15585,0.00184,19.41364,0.01188,WFI
58407.28432,18.16532,0.00203,19.38655,0.00495,WFI
58408.23833,18.15892,0.00316,19.38424,0.00331,WFI
