mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
58188.20359,17.25444,0.00110,17.29153,0.00111,17.31344,0.00112,19.00930,0.00701,WFI
58189.17300,17.25389,0.00095,17.29333,0.00100,17.31357,0.00100,19.00065,0.00303,WFI
58190.20764,17.25687,0.00111,17.29188,0.00178,17.30931,0.00177,18.99017,0.00216,WFI
58191.24812,17.25407,0.00114,17.29358,0.00100,17.31101,0.00324,19.00852,0.00488,WFI
58192.16091,17.24767,0.00113,17.29090,0.00322,17.30732,0.00277,19.01111,0.00296,WFI
58193.24065,17.24894,0.00092,17.29496,0.00124,17.30791,0.00095,19.00088,0.00336,WFI
58194.29065,17.24615,0.00109,17.29642,0.00111,17.30695,0.00111,19.00679,0.00349,WFI
58195.10941,17.25162,0.00146,17.30307,0.00106,17.31018,0.00247,19.00367,0.00365,WFI
58196.22969,17.25112,0.00243,17.30490,0.00187,17.31370,0.00202,19.01298,0.00207,WFI
58197.23370,17.24648,0.00089,17.29811,0.00155,17.30638,0.00199,19.01202,0.00218,WFI
58198.24566,17.24933,0.00100,17.30495,0.00102,17.31020,0.00304,19.00586,0.00287,WFI
58199.16620,17.24272,0.00196,17.30347,0.00120,17.30666,0.00133,19.00965,0.01175,WFI
58200.16533,17.24651,0.00156,17.30362,0.00152,17.30619,0.00100,19.01548,0.00396,WFI
58201.21546,17.24280,0.00238,17.30066,0.00097,17.30672,0.00097,19.02305,0.00251,WFI
58202.26094,17.24484,0.00085,17.29966,0.00104,17.30913,0.00303,19.01053,0.00750,WFI
58203.22979,17.24277,0.00183,17.29894,0.00183,17.30348,0.00236,18.99171,0.00230,WFI
58204.14507,17.24533,0.00120,17.30321,0.00169,17.30542,0.00123,19.01538,0.00346,WFI
58205.16218,17.24591,0.00132,17.30239,0.00120,17.30272,0.00120,18.99631,0.00489,WFI
58206.16546,17.24098,0.00132,17.29709,0.00135,17.30194,0.00210,18.99220,0.00384,WFI
58209.20558,17.24315,0.00191,17.29726,0.00192,17.29952,0.00149,18.99539,0.00460,WFI
58210.21144,17.24219,0.00115,17.29855,0.00119,17.29706,0.00119,18.99473,0.00463,WFI
