mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
54518.26127,-12.20417,0.01216,-11.05042,0.01792,EulerC2
54522.26043,-12.19760,0.00386,-11.00236,0.03848,EulerC2
54532.29457,-12.18827,0.00301,-11.05023,0.01356,EulerC2
54536.33236,-12.18952,0.00492,-11.02896,0.01100,EulerC2
54540.31630,-12.19120,0.00518,-11.06907,0.01020,EulerC2
54543.34467,-12.20929,0.00251,-11.02699,0.01143,EulerC2
54550.26990,-12.19060,0.00392,-11.08242,0.00928,EulerC2
54552.24907,-12.19360,0.00357,-11.05874,0.00721,EulerC2
54557.13509,-12.20439,0.00330,-11.01943,0.00939,EulerC2
54561.26095,-12.20150,0.00786,-11.04148,0.00697,EulerC2
54573.23105,-12.18001,0.00380,-11.05936,0.01567,EulerC2
54579.27661,-12.20638,0.01119,-11.06918,0.03001,EulerC2
54582.26097,-12.18111,0.00350,-11.08744,0.02142,EulerC2
54588.05418,-12.19201,0.00320,-11.04114,0.00569,EulerC2
54591.05392,-12.18634,0.00564,-11.06056,0.00538,EulerC2
54595.14255,-12.17590,0.00371,-11.08647,0.01833,EulerC2
54598.27206,-12.15649,0.01197,-11.08908,0.01590,EulerC2
54601.25811,-12.16613,0.00907,-11.06885,0.02359,EulerC2
54606.20082,-12.17072,0.00408,-11.05466,0.01018,EulerC2
54618.08834,-12.15906,0.00451,-11.08422,0.00774,EulerC2
54623.09821,-12.15920,0.00263,-11.08202,0.02250,EulerC2
54633.03489,-12.15038,0.00436,-11.13011,0.00872,EulerC2
54639.98383,-12.17934,0.00351,-11.06011,0.00921,EulerC2
54644.98526,-12.17607,0.00308,-11.07534,0.00683,EulerC2
54645.96699,-12.17344,0.00369,-11.04332,0.00986,EulerC2
54662.06800,-12.15995,0.00444,-11.16869,0.01579,EulerC2
54665.04310,-12.17342,0.00798,-11.13711,0.05479,EulerC2
54673.99683,-12.20645,0.00553,-11.03867,0.01564,EulerC2
54681.02047,-12.20709,0.00539,-11.09620,0.01032,EulerC2
54688.97903,-12.23330,0.00692,-11.18027,0.03355,EulerC2
54853.34561,-12.25420,0.00762,-11.12442,0.00660,EulerC2
54858.34854,-12.26171,0.00826,-11.16077,0.00673,EulerC2
54863.35317,-12.26736,0.00526,-11.14673,0.00758,EulerC2
54867.38659,-12.25528,0.00310,-11.12121,0.00928,EulerC2
54869.32869,-12.25704,0.00438,-11.11140,0.01270,EulerC2
54870.38487,-12.24155,0.00441,-11.13537,0.00733,EulerC2
54872.37125,-12.25470,0.00870,-11.11940,0.01973,EulerC2
54874.30735,-12.24860,0.00664,-11.15087,0.01452,EulerC2
54877.38045,-12.24719,0.00853,-11.15650,0.01891,EulerC2
54888.26053,-12.25494,0.00296,-11.13929,0.00803,EulerC2
54893.16847,-12.26312,0.01119,-11.13680,0.02669,EulerC2
54899.32817,-12.23686,0.00516,-11.15918,0.00814,EulerC2
54900.27876,-12.24581,0.01075,-11.16782,0.02217,EulerC2
54905.31868,-12.26466,0.00568,-11.12050,0.02267,EulerC2
54907.28870,-12.25887,0.00300,-11.11084,0.00850,EulerC2
54908.29566,-12.26306,0.00364,-11.10498,0.00810,EulerC2
54910.26273,-12.25916,0.00917,-11.11897,0.00884,EulerC2
54914.26883,-12.26629,0.00292,-11.10215,0.01742,EulerC2
54919.17720,-12.27220,0.00288,-11.10831,0.01453,EulerC2
54924.31708,-12.27120,0.00343,-11.10495,0.00459,EulerC2
54926.28683,-12.25732,0.00632,-11.12398,0.01933,EulerC2
54928.16633,-12.27751,0.01083,-11.10831,0.00966,EulerC2
54932.25258,-12.27285,0.00539,-11.09001,0.01930,EulerC2
54934.29847,-12.28350,0.00330,-11.09800,0.00809,EulerC2
54935.30221,-12.27600,0.00287,-11.08365,0.00699,EulerC2
54940.15911,-12.26162,0.00281,-11.12135,0.00801,EulerC2
54945.14224,-12.26286,0.00359,-11.12309,0.01778,EulerC2
54950.24844,-12.28103,0.00491,-11.07930,0.00731,EulerC2
54955.07785,-12.26489,0.00581,-11.09951,0.00805,EulerC2
54961.06296,-12.29130,0.01093,-11.04922,0.02260,EulerC2
54966.05758,-12.28506,0.00300,-11.11836,0.00980,EulerC2
54972.11995,-12.27520,0.00314,-11.10691,0.01051,EulerC2
54982.04804,-12.28556,0.00408,-11.15210,0.01251,EulerC2
54984.05185,-12.29356,0.00341,-11.13097,0.01124,EulerC2
54992.06058,-12.28721,0.00398,-11.13321,0.01374,EulerC2
54998.04014,-12.27749,0.01294,-11.16858,0.03549,EulerC2
55004.06436,-12.29028,0.00504,-11.16686,0.01674,EulerC2
55008.05714,-12.28788,0.00899,-11.10037,0.03829,EulerC2
55012.06758,-12.27113,0.00623,-11.21473,0.03450,EulerC2
55017.05700,-12.27706,0.02347,-11.17387,0.02639,EulerC2
55018.05818,-12.29843,0.00529,-11.12875,0.04434,EulerC2
55019.07881,-12.29562,0.00430,-11.09703,0.01361,EulerC2
55020.04491,-12.30050,0.01119,-11.10237,0.02669,EulerC2
55022.05573,-12.30385,0.00381,-11.08387,0.00809,EulerC2
55024.01902,-12.30168,0.00347,-11.11283,0.01501,EulerC2
55032.05110,-12.30512,0.00978,-11.17721,0.02381,EulerC2
55037.04887,-12.29418,0.00538,-11.17035,0.00695,EulerC2
55041.99395,-12.28651,0.00344,-11.17969,0.00714,EulerC2
55047.00125,-12.29334,0.00948,-11.15883,0.00918,EulerC2
55053.97489,-12.28035,0.00412,-11.13620,0.05010,EulerC2
55056.97418,-12.27971,0.01036,-11.16799,0.04863,EulerC2
55063.97493,-12.29358,0.00619,-11.17771,0.00843,EulerC2
55211.33220,-12.23124,0.00373,-11.13554,0.00739,EulerC2
55215.36147,-12.23133,0.00502,-11.11553,0.00515,EulerC2
55223.31821,-12.21674,0.00888,-11.13427,0.00818,EulerC2
55226.31237,-12.24423,0.01119,-11.18348,0.02669,EulerC2
55235.33458,-12.21384,0.00290,-11.12415,0.00962,EulerC2
55239.31446,-12.23758,0.00364,-11.11056,0.00843,EulerC2
55243.39167,-12.23420,0.00271,-11.12587,0.02169,EulerC2
55244.32355,-12.22535,0.00476,-11.09994,0.00475,EulerC2
55247.35727,-12.23120,0.00259,-11.13328,0.01181,EulerC2
55248.28416,-12.23419,0.00290,-11.10901,0.00943,EulerC2
55249.29322,-12.22031,0.00596,-11.11870,0.00533,EulerC2
55251.37268,-12.23439,0.00307,-11.14029,0.00782,EulerC2
55253.31895,-12.23706,0.00367,-11.10678,0.00668,EulerC2
55254.33349,-12.24534,0.00382,-11.13099,0.00856,EulerC2
55255.33665,-12.22887,0.00449,-11.11922,0.00997,EulerC2
55263.36359,-12.20389,0.00352,-11.17097,0.00749,EulerC2
55267.38323,-12.21601,0.00414,-11.12539,0.00560,EulerC2
55272.33491,-12.22211,0.00574,-11.09184,0.01014,EulerC2
55273.29703,-12.22983,0.00349,-11.13005,0.01170,EulerC2
55275.34494,-12.20417,0.00332,-11.14645,0.01950,EulerC2
55276.32225,-12.20220,0.00331,-11.12261,0.00537,EulerC2
55277.24636,-12.21977,0.00303,-11.08826,0.00446,EulerC2
55280.29652,-12.20510,0.00340,-11.08135,0.01748,EulerC2
55281.24948,-12.21587,0.00628,-11.07906,0.00807,EulerC2
55282.23030,-12.19688,0.00393,-11.10569,0.00978,EulerC2
55284.21179,-12.20876,0.00918,-11.11584,0.02582,EulerC2
55291.33056,-12.19338,0.00624,-11.11298,0.01116,EulerC2
55295.21275,-12.19994,0.00283,-11.11433,0.01749,EulerC2
55300.16913,-12.19202,0.00354,-11.13368,0.01491,EulerC2
55304.32177,-12.21239,0.00366,-11.10433,0.01867,EulerC2
55308.19335,-12.19230,0.01361,-11.10372,0.01887,EulerC2
55317.25403,-12.20799,0.01356,-11.06591,0.01622,EulerC2
55321.18633,-12.18969,0.00451,-11.13018,0.01929,EulerC2
55324.15642,-12.19112,0.00304,-11.08837,0.00562,EulerC2
55335.18203,-12.19962,0.00305,-11.06278,0.00505,EulerC2
55337.23109,-12.19274,0.01119,-11.10229,0.02669,EulerC2
55339.19412,-12.19019,0.00750,-11.13658,0.01476,EulerC2
55342.11512,-12.20586,0.00839,-11.10388,0.01233,EulerC2
55347.13185,-12.18910,0.00616,-11.08338,0.03404,EulerC2
55348.17858,-12.20611,0.00338,-11.08956,0.00792,EulerC2
55361.06929,-12.20655,0.01092,-11.10813,0.02788,EulerC2
55364.08250,-12.19528,0.01081,-11.14516,0.01866,EulerC2
55374.05819,-12.20441,0.00608,-11.10921,0.01515,EulerC2
55377.11970,-12.20370,0.00583,-11.09555,0.00903,EulerC2
55385.08777,-12.21278,0.00510,-11.11407,0.01269,EulerC2
55389.06824,-12.21868,0.00288,-11.07670,0.00955,EulerC2
55392.01320,-12.23130,0.00508,-11.08189,0.00890,EulerC2
55397.03506,-12.21886,0.00743,-11.12495,0.01166,EulerC2
55408.99801,-12.23048,0.00366,-11.09947,0.00696,EulerC2
55411.97306,-12.23532,0.01079,-11.10931,0.04335,EulerC2
55416.99588,-12.24459,0.00370,-11.07468,0.01636,EulerC2
55580.34179,-12.24681,0.00306,-11.13507,0.01129,EulerCAM
