mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
58043.19970,16.58444,0.00126,18.23073,0.00245,WFI
58045.21649,16.57836,0.00169,18.23161,0.00413,WFI
58046.18930,16.57394,0.00169,18.24612,0.00226,WFI
58047.11598,16.57321,0.00137,18.22476,0.00171,WFI
58048.22158,16.57289,0.00141,18.22272,0.00411,WFI
58049.23340,16.56621,0.00165,18.22697,0.00195,WFI
58051.19437,16.56837,0.00138,18.22143,0.00435,WFI
58052.19800,16.55702,0.00316,18.23088,0.00705,WFI
58054.16431,16.56582,0.00119,18.21636,0.00351,WFI
58055.08081,16.56081,0.00158,18.21190,0.00169,WFI
58056.13271,16.55521,0.00167,18.20316,0.00188,WFI
58057.29937,16.56840,0.00316,18.20468,0.00705,WFI
58062.20152,16.55836,0.00734,18.23031,0.00834,WFI
58063.24096,16.55612,0.00162,18.19637,0.00318,WFI
58064.16408,16.56282,0.00149,18.18852,0.00193,WFI
58065.19274,16.55949,0.00252,18.17457,0.00509,WFI
58066.08900,16.55289,0.00122,18.19376,0.00155,WFI
58067.08154,16.55648,0.00183,18.18493,0.00146,WFI
58068.07024,16.55702,0.00123,18.18808,0.00158,WFI
58069.07738,16.55595,0.00121,18.18386,0.00345,WFI
58070.08244,16.55810,0.00257,18.18329,0.00341,WFI
58071.09154,16.55682,0.00128,18.19300,0.00161,WFI
58072.08509,16.55075,0.00229,18.19173,0.00198,WFI
58073.08848,16.55228,0.00104,18.18726,0.00360,WFI
58074.10287,16.54647,0.00149,18.19184,0.00179,WFI
58077.10899,16.54377,0.00147,18.18033,0.00528,WFI
58078.09993,16.54487,0.00145,18.19059,0.00381,WFI
58079.10531,16.54033,0.00166,18.18346,0.00193,WFI
58080.10800,16.54171,0.00124,18.18478,0.00131,WFI
58081.13617,16.54150,0.00120,18.18404,0.00216,WFI
58082.17617,16.54109,0.00220,18.20036,0.00349,WFI
58083.13663,16.54143,0.00122,18.18579,0.00235,WFI
58084.09503,16.53946,0.00240,18.18302,0.00185,WFI
58085.07612,16.54149,0.00135,18.18230,0.00463,WFI
58088.05928,16.53948,0.00378,18.17662,0.00705,WFI
58090.05550,16.53193,0.00181,18.16440,0.00359,WFI
58091.05832,16.52932,0.00148,18.17474,0.00204,WFI
58092.04641,16.53339,0.00137,18.18009,0.00294,WFI
58093.05551,16.53053,0.00128,18.17648,0.00214,WFI
58094.15002,16.53277,0.00151,18.17471,0.00188,WFI
58095.11791,16.53172,0.00143,18.16991,0.00331,WFI
58096.03389,16.52454,0.00146,18.16748,0.00177,WFI
58097.03760,16.52733,0.00133,18.16151,0.00164,WFI
58098.03327,16.52365,0.00179,18.16227,0.00183,WFI
58099.11740,16.52172,0.00155,18.17477,0.00435,WFI
58100.05371,16.52050,0.00094,18.17528,0.00275,WFI
58101.13871,16.52490,0.00226,18.16508,0.00201,WFI
58102.03804,16.52589,0.00131,18.16055,0.00311,WFI
58103.03801,16.52349,0.00110,18.16295,0.00285,WFI
58104.03647,16.52007,0.00168,18.16056,0.00221,WFI
58105.03957,16.52176,0.00214,18.15773,0.00392,WFI
58106.09503,16.52327,0.00176,18.15437,0.00207,WFI
58107.04131,16.52261,0.00137,18.15759,0.00172,WFI
58108.05176,16.52282,0.00132,18.16589,0.00575,WFI
58109.10156,16.52829,0.00141,18.16013,0.00222,WFI
58110.07218,16.53051,0.00295,18.16739,0.00160,WFI
58111.07618,16.53192,0.00151,18.15706,0.00257,WFI
58112.04388,16.53088,0.00141,18.15731,0.00186,WFI
58113.06528,16.53512,0.00291,18.14969,0.00736,WFI
58114.07947,16.53764,0.00135,18.15885,0.00179,WFI
58115.04426,16.53444,0.00138,18.15518,0.00405,WFI
58116.05723,16.53332,0.00159,18.15482,0.00162,WFI
58117.06576,16.53616,0.00176,18.15714,0.00228,WFI
58118.05830,16.53656,0.00164,18.15931,0.00351,WFI
58119.05809,16.53981,0.00169,18.15613,0.00232,WFI
58121.06378,16.54806,0.00150,18.14988,0.00215,WFI
58122.07991,16.54635,0.00251,18.16383,0.00520,WFI
58123.06926,16.54680,0.00130,18.16325,0.00135,WFI
58124.04716,16.54452,0.00217,18.15651,0.00239,WFI
58125.06225,16.54975,0.00330,18.16487,0.00218,WFI
58127.05542,16.54927,0.00158,18.16354,0.00131,WFI
58128.03817,16.54804,0.00131,18.16529,0.00173,WFI
58129.04632,16.55003,0.00139,18.16451,0.00321,WFI
58132.05035,16.55513,0.00281,18.17103,0.00405,WFI
58133.05154,16.54998,0.00139,18.17072,0.00175,WFI
58134.03852,16.55256,0.00190,18.18270,0.00176,WFI
58136.04465,16.54945,0.00167,18.17899,0.00262,WFI
58138.03872,16.54799,0.00172,18.18221,0.00416,WFI
58140.03715,16.54445,0.00153,18.16918,0.00380,WFI
58141.03780,16.54563,0.00159,18.17550,0.00276,WFI
